nombre,isbn,categoria,autor,paginas,precio,cantidad
El Reino 76,978-8452670497,Historia,Ana Fuentes,658,313.07,39
El Reino 77,978-8439467897,Misterio,Pedro Romero,124,210.0,8
El Reino 78,978-8436793666,Educativo,Roberto Fuentes,473,630.04,46
El Viaje 79,978-8431767419,Educativo,Jorge Núñez,462,790.5,40
Crónicas 80,978-8444755428,Aventura,Esteban Ramírez,155,413.47,38
Guía 81,978-8442188833,Aventura,Adriana Núñez,590,322.13,16
Introducción 82,978-8495062269,Gastronomía,Pedro Torres,134,747.51,17
El Viaje 83,978-8474651711,Aventura,Martín Torres,273,308.0,20
Aprendiendo 84,978-8423934661,Ficción,Mónica Núñez,188,362.43,43
El Viaje 85,978-8476378932,Psicología,Valeria Vidal,604,581.59,35
Manual 86,978-8485567621,Ciencia Ficción,Roberto Ruiz,476,742.1,19
Fundamentos 87,978-8412507501,Tecnología,Isabel Peña,169,108.88,30
Historias 88,978-8444693028,Educativo,Natalia Salas,643,445.73,39
Universo 89,978-8472287638,Psicología,Ana Díaz,466,423.78,35
Manual 90,978-8467373856,Ciencia,Adriana Núñez,428,275.1,12
El Secreto 91,978-8447722415,Infantil,Carlos Herrera,529,649.05,26
Historias 92,978-8496461109,Infantil,Camila Vidal,605,259.81,23
La Isla 93,978-8489586924,Tecnología,Sergio Ríos,170,264.91,14
Sombras 94,978-8412026744,Fantasía,Luis Castillo,623,791.05,2
Crónicas 95,978-8472515219,Fantasía,Gabriel Silva,334,375.7,30
Introducción 96,978-8450937861,Fantasía,Elena Campos,191,585.04,26
Fundamentos 97,978-8472455400,Negocios,Martín Sánchez,287,120.51,23
Historias 98,978-8411128851,Aventura,Paola Ramírez,662,222.13,9
Historias 99,978-8458299045,Drama,Sofía Vega,488,163.4,45
Fundamentos 100,978-8459461385,Infantil,Pedro Fuentes,152,251.39,4
